Question,Query
What is the total approved budget for the Noncommunicable diseases programme in the Western Pacific region for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'WP Western Pacific';
How much funding was allocated as Core Voluntary Contributions for the Africa region in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the Americas region for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'AM Americas';
How much funding was received as Voluntary Contributions Specified for the Africa region in the 2014-15 biennium?,SELECT SUM(VCS_AMOUNT) AS VoluntaryContributionsSpecifiedAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND AWARD_TYPE = 'Voluntary Contributions Specified';
What is the total approved budget for the Noncommunicable diseases programme in the South-East Asia region for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'SE South East Asia';
How much funding was allocated as Assessed Contributions for the Africa region at the country office level in the 2014-15 biennium?,SELECT SUM(AC_AMOUNT) AS AssessedContributionsAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'CO' AND AWARD_TYPE = 'Assessed Contributions';
What is the total approved budget for the Mental health and substance abuse programme in the South-East Asia region at the country office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.002' AND MAJOR_OFFICE = 'SE South East Asia' AND LEVEL = 'CO';
How much funding was received as Core Voluntary Contributions for the Africa region at the regional office level in the 2014-15 biennium?,SELECT SUM(CVCA_AMOUNT) AS CoreVoluntaryContributionsAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND LEVEL = 'RO' AND AWARD_TYPE = 'Core Voluntary Contributions';
What is the total approved budget for the Noncommunicable diseases programme in the Western Pacific region at the regional office level for the 2016-17 biennium?,SELECT SUM(BUDGET_AMOUNT) AS TotalApprovedBudget FROM EXT_APPROVED_BUDGET WHERE BIENNIUM = '2016-17' AND SEGMENT = 'Base' AND PROGRAMME_SERIAL_NO = '02.001' AND MAJOR_OFFICE = 'WP Western Pacific' AND LEVEL = 'RO';
How much funding was allocated as Programme Support Costs for the Africa region in the 2014-15 biennium?,SELECT SUM(PSC_AMOUNT) AS ProgrammeSupportCostsAfrica FROM PUB_FUNDING WHERE BIENNIUM = '2014-15' AND MAJOR_OFFICE = 'AF Africa' AND AWARD_TYPE = 'Programme Support Costs';
